X1,vcf_name,index,Sequencing project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Latitude,Longitude,Source,Collection date,Comments
data/AN1711171/S-012_sorted.bam,S-012,96,GW AN1711171,S-012_R1_001.fastq.gz,403397,403397,S-012,Alaska,Interior,YukonFlats,NA,61.145748,-151.1266057,NA,NA,NA
data/AN1711171/S-013_sorted.bam,S-013,97,GW AN1711171,S-013_R1_001.fastq.gz,403352,403352,S-013,Alaska,Interior,YukonFlats,NA,61.145748,-151.1266057,NA,NA,NA
data/AN1711171/U-001_sorted.bam,U-001,98,GW AN1711171,U-001_R1_001.fastq.gz,404157,404157,U-001,Alaska,North,NorthSlope,NA,NA,NA,NA,NA,NA
data/AN1711171/U-002_sorted.bam,U-002,99,GW AN1711171,U-002_R1_001.fastq.gz,404158,404158,U-002,Alaska,North,NorthSlope,NA,NA,NA,NA,NA,NA
data/AN1711171/U-005_sorted.bam,U-005,100,GW AN1711171,U-005_R1_001.fastq.gz,404162,404162,U-005,Alaska,North,NorthSlope,NA,NA,NA,NA,NA,NA
data/AN1711171/V-001_sorted.bam,V-001,101,GW AN1711171,V-001_R1_001.fastq.gz,TO4250,TO4250,V-001,Canada,Midwest,EagleLake,NA,49.7,-93.21667,NA,NA,NA
data/AN1711171/V-002_sorted.bam,V-002,102,GW AN1711171,V-002_R1_001.fastq.gz,TO4254,TO4254,V-002,Canada,Midwest,EagleLake,NA,49.7,-93.21667,NA,NA,NA
data/AN1711171/V-003_sorted.bam,V-003,103,GW AN1711171,V-003_R1_001.fastq.gz,TO4260,TO4260,V-003,Canada,Midwest,EagleLake,NA,49.7,-93.21667,NA,NA,NA
data/AN1711171/V-004_sorted.bam,V-004,104,GW AN1711171,V-004_R1_001.fastq.gz,TO4267,TO4267,V-004,Canada,Midwest,EagleLake,NA,49.7,-93.21667,NA,NA,NA
data/AN1711171/V-005_sorted.bam,V-005,105,GW AN1711171,V-005_R1_001.fastq.gz,TO4268,TO4268,V-005,Canada,Midwest,EagleLake,NA,49.7,-93.21667,NA,NA,NA
data/AN1711171/V-006_sorted.bam,V-006,106,GW AN1711171,V-006_R1_001.fastq.gz,TO4271,TO4271,V-006,Canada,Midwest,EagleLake,NA,49.7,-93.21667,NA,NA,NA
data/AN1711171/V-007_sorted.bam,V-007,107,GW AN1711171,V-007_R1_001.fastq.gz,TO4251,TO4251,V-007,Canada,Midwest,EagleLake,NA,49.7,-93.21667,NA,NA,NA
data/AN1711171/V-009_sorted.bam,V-009,108,GW AN1711171,V-009_R1_001.fastq.gz,TO4252,TO4252,V-009,Canada,Midwest,EagleLake,NA,49.7,-93.21667,NA,NA,NA
data/AN1711171/V-010_sorted.bam,V-010,109,GW AN1711171,V-010_R1_001.fastq.gz,TO4259,TO4259,V-010,Canada,Midwest,EagleLake,NA,49.7,-93.21667,NA,NA,NA
data/AN1711171/V-011_sorted.bam,V-011,110,GW AN1711171,V-011_R1_001.fastq.gz,TO4257,TO4257,V-011,Canada,Midwest,EagleLake,NA,49.7,-93.21667,NA,NA,NA
data/AN1711171/W-002_sorted.bam,W-002,111,GW AN1711171,W-002_R1_001.fastq.gz,157095,157095,W-002,Alaska,Northwest,Selawik,NA,NA,NA,NA,NA,NA
data/AN1711171/W-003_sorted.bam,W-003,112,GW AN1711171,W-003_R1_001.fastq.gz,157096,157096,W-003,Alaska,Northwest,Selawik,NA,NA,NA,NA,NA,NA
data/AN1711171/W-004_sorted.bam,W-004,113,GW AN1711171,W-004_R1_001.fastq.gz,157100,157100,W-004,Alaska,Northwest,Selawik,NA,NA,NA,NA,NA,NA
data/AN1711171/W-006_sorted.bam,W-006,114,GW AN1711171,W-006_R1_001.fastq.gz,156528,156528,W-006,Alaska,Northwest,Selawik,NA,NA,NA,NA,NA,NA
