GW,Project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Latitude,Longitude,Source,Collection date,Comments,String,Coverage
GW,AN1711171,O-010_R1_001.fastq.gz,183,183,O-010,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-010_sorted.bam,1.19701
GW,AN1711171,O-011_R1_001.fastq.gz,184,184,O-011,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-011_sorted.bam,1.09347
GW,AN1711171,O-012_R1_001.fastq.gz,185,185,O-012,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-012_sorted.bam,1.38104
GW,AN1711171,O-013_R1_001.fastq.gz,186,186,O-013,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-013_sorted.bam,1.26659
GW,AN1711171,O-015_R1_001.fastq.gz,188,188,O-015,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-015_sorted.bam,1.65488
GW,AN1711171,O-016_R1_001.fastq.gz,402183,402183,O-016,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-016_sorted.bam,1.18877
GW,AN1711171,O-017_R1_001.fastq.gz,402184,402184,O-017,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-017_sorted.bam,1.29626
GW,AN1711171,O-018_R1_001.fastq.gz,402185,402185,O-018,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-018_sorted.bam,1.60166
GW,AN1711171,O-020_R1_001.fastq.gz,402187,402187,O-020,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-020_sorted.bam,1.27178
GW,AN1711171,O-021_R1_001.fastq.gz,402189,402189,O-021,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-021_sorted.bam,1.07269
GW,AN1711171,O-022_R1_001.fastq.gz,402190,402190,O-022,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-022_sorted.bam,1.45967
GW,AN1711171,O-023_R1_001.fastq.gz,402191,402191,O-023,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-023_sorted.bam,1.20291
GW,AN1711171,O-024_R1_001.fastq.gz,402194,402194,O-024,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-024_sorted.bam,1.06756
GW,AN1711171,P-001_R1_001.fastq.gz,204,204,P-001,Alaska,Southcentral,BulchitnaLake,NA,61.935431,-150.9204957,NA,NA,NA,data/AN1711171/P-001_sorted.bam,1.35227
GW,AN1711171,P-002_R1_001.fastq.gz,205,205,P-002,Alaska,Southcentral,BulchitnaLake,NA,61.935431,-150.9204957,NA,NA,NA,data/AN1711171/P-002_sorted.bam,1.47432
GW,AN1711171,P-003_R1_001.fastq.gz,206,206,P-003,Alaska,Southcentral,BulchitnaLake,NA,61.935431,-150.9204957,NA,NA,NA,data/AN1711171/P-003_sorted.bam,1.26149
GW,AN1711171,P-004_R1_001.fastq.gz,207,207,P-004,Alaska,Southcentral,BulchitnaLake,NA,61.935431,-150.9204957,NA,NA,NA,data/AN1711171/P-004_sorted.bam,1.30165
GW,AN1711171,P-005_R1_001.fastq.gz,208,208,P-005,Alaska,Southcentral,BulchitnaLake,NA,61.935431,-150.9204957,NA,NA,NA,data/AN1711171/P-005_sorted.bam,1.50867
GW,AN1711171,P-006_R1_001.fastq.gz,209,209,P-006,Alaska,Southcentral,BulchitnaLake,NA,61.935431,-150.9204957,NA,NA,NA,data/AN1711171/P-006_sorted.bam,1.16507
GW,AN1711171,P-007_R1_001.fastq.gz,210,210,P-007,Alaska,Southcentral,BulchitnaLake,NA,61.935431,-150.9204957,NA,NA,NA,data/AN1711171/P-007_sorted.bam,1.26977
GW,AN1711171,Q-001_R1_001.fastq.gz,402147,402147,Q-001,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-001_sorted.bam,1.20589
GW,AN1711171,Q-002_R1_001.fastq.gz,402148,402148,Q-002,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-002_sorted.bam,1.37572
GW,AN1711171,Q-003_R1_001.fastq.gz,402149,402149,Q-003,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-003_sorted.bam,1.24247
GW,AN1711171,Q-004_R1_001.fastq.gz,402150,402150,Q-004,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-004_sorted.bam,1.34402
GW,AN1711171,Q-005_R1_001.fastq.gz,402151,402151,Q-005,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-005_sorted.bam,1.20075
GW,AN1711171,Q-006_R1_001.fastq.gz,402152,402152,Q-006,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-006_sorted.bam,1.33636
GW,AN1711171,Q-007_R1_001.fastq.gz,402153,402153,Q-007,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-007_sorted.bam,1.51628
GW,AN1711171,Q-009_R1_001.fastq.gz,402155,402155,Q-009,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-009_sorted.bam,1.28641
GW,AN1711171,Q-010_R1_001.fastq.gz,402156,402156,Q-010,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-010_sorted.bam,1.12671
GW,AN1711171,Q-011_R1_001.fastq.gz,402157,402157,Q-011,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-011_sorted.bam,1.22725
GW,AN1711171,Q-017_R1_001.fastq.gz,402163,402163,Q-017,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-017_sorted.bam,1.45478
GW,AN1711171,Q-018_R1_001.fastq.gz,402164,402164,Q-018,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-018_sorted.bam,1.38815
GW,AN1711171,Q-019_R1_001.fastq.gz,402165,402165,Q-019,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-019_sorted.bam,1.22461
GW,AN1711171,Q-020_R1_001.fastq.gz,402166,402166,Q-020,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-020_sorted.bam,1.21205
GW,AN1711171,Q-021_R1_001.fastq.gz,402167,402167,Q-021,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-021_sorted.bam,1.20026
GW,AN1711171,Q-022_R1_001.fastq.gz,402168,402168,Q-022,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-022_sorted.bam,1.20295
GW,AN1711171,Q-023_R1_001.fastq.gz,402169,402169,Q-023,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-023_sorted.bam,1.17434
GW,AN1711171,Q-024_R1_001.fastq.gz,402170,402170,Q-024,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-024_sorted.bam,1.25643
GW,AN1711171,Q-025_R1_001.fastq.gz,402171,402171,Q-025,Alaska,Interior,MintoFlats,NA,65.157778,-149.37,NA,NA,NA,data/AN1711171/Q-025_sorted.bam,1.28968
GW,AN1711171,R-001_R1_001.fastq.gz,1,1,R-001,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-001_sorted.bam,1.40454
GW,AN1711171,R-002_R1_001.fastq.gz,2,2,R-002,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-002_sorted.bam,1.33371
GW,AN1711171,R-003_R1_001.fastq.gz,3,3,R-003,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-003_sorted.bam,1.1125
GW,AN1711171,R-004_R1_001.fastq.gz,4,4,R-004,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-004_sorted.bam,1.37897
GW,AN1711171,R-005_R1_001.fastq.gz,5,5,R-005,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-005_sorted.bam,1.27209
GW,AN1711171,R-006_R1_001.fastq.gz,6,6,R-006,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-006_sorted.bam,1.28268
GW,AN1711171,R-007_R1_001.fastq.gz,7,7,R-007,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-007_sorted.bam,1.41162
GW,AN1711171,R-008_R1_001.fastq.gz,10,10,R-008,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-008_sorted.bam,1.1166
GW,AN1711171,R-009_R1_001.fastq.gz,13,13,R-009,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-009_sorted.bam,1.08665
GW,AN1711171,R-010_R1_001.fastq.gz,16,16,R-010,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-010_sorted.bam,1.24662
GW,AN1711171,R-011_R1_001.fastq.gz,18,18,R-011,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-011_sorted.bam,1.33051
GW,AN1711171,R-012_R1_001.fastq.gz,19,19,R-012,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-012_sorted.bam,1.25698
GW,AN1711171,R-013_R1_001.fastq.gz,20,20,R-013,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-013_sorted.bam,1.38927
GW,AN1711171,R-014_R1_001.fastq.gz,25,25,R-014,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-014_sorted.bam,1.36554
GW,AN1711171,R-015_R1_001.fastq.gz,26,26,R-015,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-015_sorted.bam,1.31966
GW,AN1711171,R-016_R1_001.fastq.gz,27,27,R-016,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-016_sorted.bam,1.57723
GW,AN1711171,R-017_R1_001.fastq.gz,28,28,R-017,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-017_sorted.bam,1.5553
GW,AN1711171,R-018_R1_001.fastq.gz,29,29,R-018,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-018_sorted.bam,1.45359
GW,AN1711171,R-019_R1_001.fastq.gz,30,30,R-019,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-019_sorted.bam,1.42845
GW,AN1711171,R-020_R1_001.fastq.gz,31,31,R-020,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-020_sorted.bam,1.23248
GW,AN1711171,R-021_R1_001.fastq.gz,32,32,R-021,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-021_sorted.bam,1.18329
GW,AN1711171,R-022_R1_001.fastq.gz,33,33,R-022,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-022_sorted.bam,1.14832
GW,AN1711171,R-023_R1_001.fastq.gz,34,34,R-023,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-023_sorted.bam,1.44278
GW,AN1711171,R-024_R1_001.fastq.gz,35,35,R-024,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-024_sorted.bam,1.49096
GW,AN1711171,R-025_R1_001.fastq.gz,36,36,R-025,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-025_sorted.bam,1.46422
GW,AN1711171,R-026_R1_001.fastq.gz,37,37,R-026,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-026_sorted.bam,1.452
GW,AN1711171,R-027_R1_001.fastq.gz,38,38,R-027,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-027_sorted.bam,1.43638
GW,AN1711171,R-028_R1_001.fastq.gz,39,39,R-028,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-028_sorted.bam,1.62899
GW,AN1711171,R-029_R1_001.fastq.gz,40,40,R-029,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-029_sorted.bam,1.54534
GW,AN1711171,R-030_R1_001.fastq.gz,41,41,R-030,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-030_sorted.bam,1.44033
GW,AN1711171,R-031_R1_001.fastq.gz,42,42,R-031,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-031_sorted.bam,1.45215
GW,AN1711171,R-032_R1_001.fastq.gz,43,43,R-032,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-032_sorted.bam,1.45963
GW,AN1711171,R-033_R1_001.fastq.gz,44,44,R-033,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-033_sorted.bam,1.30952
GW,AN1711171,R-034_R1_001.fastq.gz,45,45,R-034,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-034_sorted.bam,1.56865
GW,AN1711171,R-035_R1_001.fastq.gz,141,141,R-035,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA,data/AN1711171/R-035_sorted.bam,1.42121
GW,AN1711171,S-001_R1_001.fastq.gz,403269,403269,S-001,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-001_sorted.bam,1.35401
GW,AN1711171,S-002_R1_001.fastq.gz,403291,403291,S-002,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-002_sorted.bam,1.25422
GW,AN1711171,S-003_R1_001.fastq.gz,403299,403299,S-003,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-003_sorted.bam,1.39781
GW,AN1711171,S-004_R1_001.fastq.gz,403351,403351,S-004,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-004_sorted.bam,1.30434
GW,AN1711171,S-005_R1_001.fastq.gz,403380,403380,S-005,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-005_sorted.bam,1.38057
GW,AN1711171,S-006_R1_001.fastq.gz,403385,403385,S-006,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-006_sorted.bam,1.28171
GW,AN1711171,S-007_R1_001.fastq.gz,403392,403392,S-007,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-007_sorted.bam,1.22399
GW,AN1711171,S-008_R1_001.fastq.gz,403393,403393,S-008,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-008_sorted.bam,1.21552
GW,AN1711171,S-009_R1_001.fastq.gz,403394,403394,S-009,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-009_sorted.bam,1.26782
GW,AN1711171,S-010_R1_001.fastq.gz,403395,403395,S-010,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-010_sorted.bam,1.17816
GW,AN1711171,S-011_R1_001.fastq.gz,403396,403396,S-011,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-011_sorted.bam,1.28494
GW,AN1711171,S-012_R1_001.fastq.gz,403397,403397,S-012,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-012_sorted.bam,1.20319
GW,AN1711171,S-013_R1_001.fastq.gz,403352,403352,S-013,Alaska,Interior,YukonFlats,NA,"66.666667,",-145.75,NA,NA,NA,data/AN1711171/S-013_sorted.bam,1.25188
GW,AN1711171,T-001_R1_001.fastq.gz,373748,373748,T-001,Alaska,Southcentral,YentnaIndianCreek,NA,61.867559,-150.779963,NA,NA,NA,data/AN1711171/T-001_sorted.bam,1.32758
GW,AN1711171,T-002_R1_001.fastq.gz,373749,373749,T-002,Alaska,Southcentral,YentnaIndianCreek,NA,61.867559,-150.779963,NA,NA,NA,data/AN1711171/T-002_sorted.bam,1.28511
GW,AN1711171,T-003_R1_001.fastq.gz,373750,373750,T-003,Alaska,Southcentral,YentnaIndianCreek,NA,61.867559,-150.779963,NA,NA,NA,data/AN1711171/T-003_sorted.bam,1.30242
GW,AN1711171,T-004_R1_001.fastq.gz,373751,373751,T-004,Alaska,Southcentral,YentnaIndianCreek,NA,61.867559,-150.779963,NA,NA,NA,data/AN1711171/T-004_sorted.bam,1.3406
GW,AN1711171,T-005_R1_001.fastq.gz,373752,373752,T-005,Alaska,Southcentral,YentnaIndianCreek,NA,61.867559,-150.779963,NA,NA,NA,data/AN1711171/T-005_sorted.bam,1.39929
GW,AN1711171,T-007_R1_001.fastq.gz,373755,373755,T-007,Alaska,Southcentral,YentnaIndianCreek,NA,61.867559,-150.779963,NA,NA,NA,data/AN1711171/T-007_sorted.bam,1.15886
GW,AN1711171,T-008_R1_001.fastq.gz,373757,373757,T-008,Alaska,Southcentral,YentnaIndianCreek,NA,61.867559,-150.779963,NA,NA,NA,data/AN1711171/T-008_sorted.bam,1.31162
