Sequencing project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Coordinates (if available),Source,Collection date,Comments
GW BK1703222,A-004_S4_R1_001.fastq.gz,AL2016-195,373708,A-004_S4,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-005_S5_R1_001.fastq.gz,AL2016-196,373709,A-005_S5,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-006_S6_R1_001.fastq.gz,AL2016-197,373710,A-006_S6,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-007_S7_R1_001.fastq.gz,AL2016-198,373711,A-007_S7,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-008_S8_R1_001.fastq.gz,AL2016-199,373712,A-008_S8,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-009_S9_R1_001.fastq.gz,AL2016-200,373713,A-009_S9,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-010_S10_R1_001.fastq.gz,AL2016-201,373714,A-010_S10,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-011_S11_R1_001.fastq.gz,AL2017-148,373721,A-011_S11,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-012_S12_R1_001.fastq.gz,AL2016-203,373716,A-012_S12,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-013_S13_R1_001.fastq.gz,AL2016-204,373717,A-013_S13,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-014_S14_R1_001.fastq.gz,AL2017-150,373723,A-014_S14,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-015_S15_R1_001.fastq.gz,AL2017-151,373724,A-015_S15,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-016_S16_R1_001.fastq.gz,AL2017-152,373725,A-016_S16,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-017_S17_R1_001.fastq.gz,AL2016-185,373698,A-017_S17,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-018_S18_R1_001.fastq.gz,AL2016-186,373699,A-018_S18,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-019_S19_R1_001.fastq.gz,AL2016-187,373700,A-019_S19,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-020_S20_R1_001.fastq.gz,AL2016-188,373701,A-020_S20,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-021_S21_R1_001.fastq.gz,AL2016-189,373702,A-021_S21,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-022_S22_R1_001.fastq.gz,AL2016-190,373703,A-022_S22,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-023_S23_R1_001.fastq.gz,AL2016-181,373694,A-023_S23,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-024_S24_R1_001.fastq.gz,AL2016-182,373695,A-024_S24,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-025_S25_R1_001.fastq.gz,AL2016-184,373697,A-025_S25,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,B-001_S26_R1_001.fastq.gz,AL2016-795,373896,B-001_S26,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-002_S27_R1_001.fastq.gz,AL2016-796,373897,B-002_S27,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-003_S28_R1_001.fastq.gz,AL2016-797,373898,B-003_S28,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-004_S29_R1_001.fastq.gz,AL2016-798,373899,B-004_S29,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-005_S30_R1_001.fastq.gz,AL2016-800,373901,B-005_S30,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-006_S31_R1_001.fastq.gz,AL2016-801,373902,B-006_S31,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-007_S32_R1_001.fastq.gz,AL2016-802,373903,B-007_S32,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-008_S33_R1_001.fastq.gz,AL2016-803,373904,B-008_S33,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-009_S34_R1_001.fastq.gz,AL2016-804,373905,B-009_S34,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-010_S35_R1_001.fastq.gz,AL2016-805,373906,B-010_S35,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-011_S36_R1_001.fastq.gz,AL2016-806,373907,B-011_S36,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-012_S37_R1_001.fastq.gz,AL2016-807,373908,B-012_S37,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-013_S38_R1_001.fastq.gz,AL2016-808,373909,B-013_S38,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-014_S39_R1_001.fastq.gz,AL2016-809,373910,B-014_S39,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-015_S40_R1_001.fastq.gz,AL2016-811,373912,B-015_S40,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-016_S41_R1_001.fastq.gz,AL2016-815,373916,B-016_S41,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-017_S42_R1_001.fastq.gz,AL2016-816,373917,B-017_S42,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-018_S43_R1_001.fastq.gz,AL2016-817,373918,B-018_S43,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-019_S44_R1_001.fastq.gz,AL2017-231,373921,B-019_S44,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,B-020_S45_R1_001.fastq.gz,AL2017-232,373922,B-020_S45,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW BK1703222,C-001_S46_R1_001.fastq.gz,AL2016-819,401878,C-001_S46,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-002_S47_R1_001.fastq.gz,AL2016-820,401879,C-002_S47,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-003_S48_R1_001.fastq.gz,AL2016-821,401880,C-003_S48,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-004_S49_R1_001.fastq.gz,AL2016-822,401881,C-004_S49,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-005_S50_R1_001.fastq.gz,AL2016-823,401882,C-005_S50,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-006_S51_R1_001.fastq.gz,AL2016-824,401883,C-006_S51,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-007_S52_R1_001.fastq.gz,AL2016-825,401884,C-007_S52,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-008_S53_R1_001.fastq.gz,AL2016-826,401885,C-008_S53,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-009_S54_R1_001.fastq.gz,AL2016-827,401886,C-009_S54,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-010_S55_R1_001.fastq.gz,AL2016-828,401887,C-010_S55,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-011_S56_R1_001.fastq.gz,AL2016-830,401889,C-011_S56,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-012_S57_R1_001.fastq.gz,AL2016-832,401891,C-012_S57,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-013_S58_R1_001.fastq.gz,AL2016-833,401892,C-013_S58,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-014_S59_R1_001.fastq.gz,AL2016-834,401893,C-014_S59,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-015_S60_R1_001.fastq.gz,AL2016-836,401895,C-015_S60,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-016_S61_R1_001.fastq.gz,AL2016-837,401896,C-016_S61,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-017_S62_R1_001.fastq.gz,AL2016-838,401897,C-017_S62,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-018_S63_R1_001.fastq.gz,AL2016-839,401898,C-018_S63,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-019_S64_R1_001.fastq.gz,AL2016-840,401899,C-019_S64,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,C-020_S65_R1_001.fastq.gz,AL2016-841,401900,C-020_S65,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
GW BK1703222,D-001_S66_R1_001.fastq.gz,AL2016-1314,402264,D-001_S66,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-002_S67_R1_001.fastq.gz,AL2016-1315,402265,D-002_S67,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-003_S68_R1_001.fastq.gz,AL2016-1316,402266,D-003_S68,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-004_S69_R1_001.fastq.gz,AL2016-1317,402267,D-004_S69,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-005_S70_R1_001.fastq.gz,AL2016-1318,402268,D-005_S70,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-006_S71_R1_001.fastq.gz,AL2016-1319,402269,D-006_S71,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-007_S72_R1_001.fastq.gz,AL2016-1321,402271,D-007_S72,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-008_S73_R1_001.fastq.gz,AL2016-1322,402272,D-008_S73,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-009_S74_R1_001.fastq.gz,AL2016-1323,402273,D-009_S74,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-010_S75_R1_001.fastq.gz,AL2016-1324,402274,D-010_S75,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-011_S76_R1_001.fastq.gz,AL2016-1325,402275,D-011_S76,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-012_S77_R1_001.fastq.gz,AL2016-1326,402276,D-012_S77,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-013_S78_R1_001.fastq.gz,AL2016-1327,402247,D-013_S78,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-014_S79_R1_001.fastq.gz,AL2016-1328,402248,D-014_S79,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-015_S80_R1_001.fastq.gz,AL2016-1329,402249,D-015_S80,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,
GW BK1703222,D-016_S81_R1_001.fastq.gz,AL2016-1331,402251,D-016_S81,Alaska,Southwest,LakeClark,,"60.181215, -154.551866",,,
GW BK1703222,D-017_S82_R1_001.fastq.gz,AL2016-1333,402253,D-017_S82,Alaska,Southwest,LakeClark,,"60.177998, -154.557445",,,
GW BK1703222,D-018_S83_R1_001.fastq.gz,AL2016-1335,402255,D-018_S83,Alaska,Southwest,LakeClark,,"60.177998, -154.557445",,,
GW BK1703222,D-019_S84_R1_001.fastq.gz,AL2016-1336,402256,D-019_S84,Alaska,Southwest,LakeClark,,"60.177998, -154.557445",,,
GW BK1703222,D-020_S85_R1_001.fastq.gz,AL2016-1337,402257,D-020_S85,Alaska,Southwest,LakeClark,,"60.177998, -154.557445",,,
GW BK1703222,D-021_S86_R1_001.fastq.gz,AL2016-1338,402258,D-021_S86,Alaska,Southwest,LakeClark,,"60.177998, -154.557445",,,
GW BK1703222,D-022_S87_R1_001.fastq.gz,AL2016-1339,402259,D-022_S87,Alaska,Southwest,LakeClark,,"60.177998, -154.557445",,,
GW BK1703222,D-023_S88_R1_001.fastq.gz,AL2016-1340,402261,D-023_S88,Alaska,Southwest,LakeClark,,"60.177998, -154.557445",,,
GW BK1703222,D-024_S89_R1_001.fastq.gz,AL2016-1341,402262,D-024_S89,Alaska,Southwest,LakeClark,,"60.177998, -154.557445",,,
GW BK1703222,D-025_S90_R1_001.fastq.gz,AL2016-1342,402263,D-025_S90,Alaska,Southwest,LakeClark,,"60.177998, -154.557445",,,
GW BK1703222,E-001_S91_R1_001.fastq.gz,AL2016-1246,380686,E-001_S91,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-002_S92_R1_001.fastq.gz,AL2016-1250,380690,E-002_S92,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-003_S93_R1_001.fastq.gz,AL2016-1251,380691,E-003_S93,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-004_S94_R1_001.fastq.gz,AL2016-1252,380692,E-004_S94,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-005_S95_R1_001.fastq.gz,AL2016-1253,380693,E-005_S95,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-006_S96_R1_001.fastq.gz,AL2016-1254,380694,E-006_S96,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-007_S97_R1_001.fastq.gz,AL2016-1255,380695,E-007_S97,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-008_S98_R1_001.fastq.gz,AL2016-1256,380696,E-008_S98,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-009_S99_R1_001.fastq.gz,AL2016-1257,380697,E-009_S99,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-010_S100_R1_001.fastq.gz,AL2016-1259,380699,E-010_S100,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-011_S101_R1_001.fastq.gz,AL2016-1260,380700,E-011_S101,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-012_S102_R1_001.fastq.gz,AL2016-1261,380701,E-012_S102,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-013_S103_R1_001.fastq.gz,AL2016-1262,380702,E-013_S103,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-014_S104_R1_001.fastq.gz,AL2016-1263,380703,E-014_S104,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-015_S105_R1_001.fastq.gz,AL2016-1264,380704,E-015_S105,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-016_S106_R1_001.fastq.gz,AL2016-1265,380705,E-016_S106,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-017_S107_R1_001.fastq.gz,AL2016-1266,380706,E-017_S107,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-018_S108_R1_001.fastq.gz,AL2016-1267,380707,E-018_S108,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-019_S109_R1_001.fastq.gz,AL2016-1268,380708,E-019_S109,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-020_S110_R1_001.fastq.gz,AL2016-1269,380709,E-020_S110,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-021_S111_R1_001.fastq.gz,AL2016-1270,380710,E-021_S111,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-022_S112_R1_001.fastq.gz,AL2016-1271,380711,E-022_S112,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-023_S113_R1_001.fastq.gz,AL2016-1272,380712,E-023_S113,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-024_S114_R1_001.fastq.gz,AL2016-1273,380713,E-024_S114,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,E-025_S115_R1_001.fastq.gz,AL2016-1274,380714,E-025_S115,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW BK1703222,F-001_S116_R1_001.fastq.gz,AL2015-535,401249,F-001_S116,Alaska,Interior,Fairbanks,,"64.849445, -147.850537",,,
GW BK1703222,F-002_S117_R1_001.fastq.gz,AL2015-542,401256,F-002_S117,Alaska,Interior,Fairbanks,,"64.855184, -146.820805",,,
GW BK1703222,F-003_S118_R1_001.fastq.gz,AL2015-543,401257,F-003_S118,Alaska,Interior,Fairbanks,,"64.855184, -146.820805",,,
GW BK1703222,F-004_S119_R1_001.fastq.gz,AL2015-531,401245,F-004_S119,Alaska,Interior,Fairbanks,,"64.803083, -147.216906",,,
GW BK1703222,F-005_S120_R1_001.fastq.gz,AL2015-536,401250,F-005_S120,Alaska,Interior,Fairbanks,,"64.803083, -147.216906",,,
GW BK1703222,F-006_S121_R1_001.fastq.gz,AL2015-522,401236,F-006_S121,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
GW BK1703222,F-007_S122_R1_001.fastq.gz,AL2015-523,401237,F-007_S122,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
GW BK1703222,F-008_S123_R1_001.fastq.gz,AL2015-524,401238,F-008_S123,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
GW BK1703222,F-009_S124_R1_001.fastq.gz,AL2015-525,401239,F-009_S124,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
GW BK1703222,F-010_S125_R1_001.fastq.gz,AL2015-526,401240,F-010_S125,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
GW BK1703222,F-011_S126_R1_001.fastq.gz,AL2015-527,401241,F-011_S126,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
GW BK1703222,F-012_S127_R1_001.fastq.gz,AL2015-529,401243,F-012_S127,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
GW BK1703222,F-013_S128_R1_001.fastq.gz,AL2015-530,401244,F-013_S128,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
GW BK1703222,F-014_S129_R1_001.fastq.gz,AL2015-537,401251,F-014_S129,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
GW BK1703222,F-015_S130_R1_001.fastq.gz,AL2015-540,401254,F-015_S130,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
GW BK1703222,F-016_S131_R1_001.fastq.gz,AL2015-521,401235,F-016_S131,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
GW BK1703222,F-017_S132_R1_001.fastq.gz,AL2015-532,401246,F-017_S132,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
GW BK1703222,F-018_S133_R1_001.fastq.gz,AL2015-533,401247,F-018_S133,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
GW BK1703222,F-019_S134_R1_001.fastq.gz,AL2015-534,401248,F-019_S134,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
GW BK1703222,F-020_S135_R1_001.fastq.gz,AL2015-541,401255,F-020_S135,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
GW BK1703222,G-001_S136_R1_001.fastq.gz,AL2016-842,374430,G-001_S136,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-002_S137_R1_001.fastq.gz,AL2016-847,374435,G-002_S137,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-003_S138_R1_001.fastq.gz,AL2016-848,374436,G-003_S138,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-004_S139_R1_001.fastq.gz,AL2016-850,374438,G-004_S139,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-005_S140_R1_001.fastq.gz,AL2017-083,374433,G-005_S140,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-006_S141_R1_001.fastq.gz,AL2017-085,374437,G-006_S141,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-007_S142_R1_001.fastq.gz,AL2017-092,374448,G-007_S142,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-008_S143_R1_001.fastq.gz,AL2017-093,374455,G-008_S143,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-009_S144_R1_001.fastq.gz,AL2017-153,374478,G-009_S144,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-010_S145_R1_001.fastq.gz,AL2017-155,374472,G-010_S145,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-011_S146_R1_001.fastq.gz,AL2017-156,374464,G-011_S146,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-012_S147_R1_001.fastq.gz,AL2017-157,374470,G-012_S147,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-013_S148_R1_001.fastq.gz,AL2017-158,374473,G-013_S148,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-014_S149_R1_001.fastq.gz,AL2017-159,374465,G-014_S149,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-015_S150_R1_001.fastq.gz,AL2017-160,374457,G-015_S150,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-016_S151_R1_001.fastq.gz,AL2017-161,374462,G-016_S151,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-017_S152_R1_001.fastq.gz,AL2017-162,374479,G-017_S152,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-018_S153_R1_001.fastq.gz,AL2017-166,374468,G-018_S153,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-019_S154_R1_001.fastq.gz,AL2017-167,374460,G-019_S154,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,G-020_S155_R1_001.fastq.gz,AL2017-168,374474,G-020_S155,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
GW BK1703222,H-001_S156_R1_001.fastq.gz,AL2016-1027,373996,H-001_S156,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-002_S157_R1_001.fastq.gz,AL2016-1033,374006,H-002_S157,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-003_S158_R1_001.fastq.gz,AL2016-1039,374015,H-003_S158,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-004_S159_R1_001.fastq.gz,AL2016-1040,374016,H-004_S159,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-005_S160_R1_001.fastq.gz,AL2016-1043,374019,H-005_S160,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-006_S161_R1_001.fastq.gz,AL2016-1044,374020,H-006_S161,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-007_S162_R1_001.fastq.gz,AL2016-1045,374021,H-007_S162,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-008_S163_R1_001.fastq.gz,AL2016-1046,374022,H-008_S163,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-009_S164_R1_001.fastq.gz,AL2016-1047,374023,H-009_S164,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-010_S165_R1_001.fastq.gz,AL2016-1049,374025,H-010_S165,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-011_S166_R1_001.fastq.gz,AL2017-099,374027,H-011_S166,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-012_S167_R1_001.fastq.gz,AL2017-136,374034,H-012_S167,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-013_S168_R1_001.fastq.gz,AL2017-138,374036,H-013_S168,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-014_S169_R1_001.fastq.gz,AL2017-139,374037,H-014_S169,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-015_S170_R1_001.fastq.gz,AL2017-141,374039,H-015_S170,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-016_S171_R1_001.fastq.gz,AL2017-142,374040,H-016_S171,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-017_S172_R1_001.fastq.gz,AL2017-143,374041,H-017_S172,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-018_S173_R1_001.fastq.gz,AL2017-144,374042,H-018_S173,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-019_S174_R1_001.fastq.gz,AL2017-145,374043,H-019_S174,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,H-020_S175_R1_001.fastq.gz,AL2017-146,374044,H-020_S175,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
GW BK1703222,I-001_S176_R1_001.fastq.gz,AL2016-1100,402903,I-001_S176,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-002_S177_R1_001.fastq.gz,AL2016-1101,402904,I-002_S177,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-003_S178_R1_001.fastq.gz,AL2016-1102,402905,I-003_S178,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-004_S179_R1_001.fastq.gz,AL2016-1103,402906,I-004_S179,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-005_S180_R1_001.fastq.gz,AL2016-1104,402907,I-005_S180,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-006_S181_R1_001.fastq.gz,AL2016-1111,402914,I-006_S181,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
