Site,Ancestry,Count
AlexanderLake,Q2,6
AndersonLake,Q8,1
AntlinRiver,Q10,25
BulchitnaLake,Q7,1
DeshkaRiver,Q11,3
EagleLake,Q13,7
Fairbanks,Q9,10
LakeClark,Q1,17
LakeNerka,Q5,11
MintoFlats,Q14,2
NorthSlope,Q15,4
OtterLake,Q16,2
StormyLake,Q3,7
TinyLake,Q4,10
YukonFlats,Q6,2
